20 10000
-228 125 0
-55 83 23
262 -74 0
239 -34 27
53 -17 13
95 -82 10
-175 8 0
120 -17 9
-73 -58 0
15 40 3
-1 -145 0
-7 179 10
-77 129 0
-19 112 0
45 -160 3
148 -140 41
120 71 9
203 -125 3
153 -67 0
72 161 10
41 193 8184 1
-9 65 9799 1
82 -139 1211 321
75 206 173 1323
-20 -59 5085 266
-83 11 2928 750
39 -20 2353 1
-104 177 1424 1
18 -52 4375 528
37 80 5613 1
-11 43 7813 833
40 -30 4942 1302
91 19 8517 1742
-57 14 9596 2982
-49 -76 0 1
116 -6 10146 2
-80 -84 8258 374
2 1 0 1
1 22 9946 1
-93 10 0 1
-10 -37 10312 1
-7 32 5870 1
-7 -45 8195 1028
-42 -10 6879 1405
9 -100 7047 1189
-12 32 0 1
-66 -19 8624 1
38 -4 4587 1
-149 -179 1522 1971
56 0 1071 405
11 53 6626 1
34 -120 12173 2220
-94 2 784 1
-9 70 2459 1
-20 -75 3512 1
-159 -127 13523 210
94 143 4444 285
-76 96 1212 1
-2 -5 8867 702
98 5 7697 1
14 152 5914 1
45 117 7256 1
14 45 5888 1
-74 -123 1671 1
-16 -221 3617 1
-154 -27 4068 193
-62 -115 8254 158
34 208 7260 1
39 -67 0 1
-57 71 11448 1
35 82 9276 897
82 -86 6840 1
107 -66 8771 559
308 79 5833 96
121 29 3664 852
-60 82 1892 1
-32 -180 5688 1410
-242 100 7585 1
88 229 345 456
-3 -48 3903 113
-8 -67 2309 1112
-75 -9 7003 737
92 217 6414 1023
-198 68 2022 1
27 -235 9506 1
120 -67 4934 322
85 -42 942 1
2 -12 4329 241
63 61 0 1
-45 -11 5707 1
-134 -167 7789 1
59 -35 3904 366
-21 161 9153 105
-13 11 4253 1
38 80 7829 653
-85 -88 0 1
264 151 3418 466
-156 99 4506 1
-116 37 4502 509
34 89 1942 1
137 -107 4175 152
44 102 6633 1
131 -78 8640 1935
-106 -89 1886 1539
-125 10 3544 1855
49 -76 4391 956
-23 87 7710 606
-33 47 4635 1
27 -109 4584 850
33 180 3047 432
-92 -130 0 1525
-48 -92 6777 1
42 101 5943 556
74 -140 4708 681
57 -6 3733 305
-58 -64 0 95
-23 -72 1071 1
18 40 9947 1133
123 98 3183 459
220 -147 10668 1
-171 25 11752 595
93 -33 0 1093
-4 0 9197 1
61 -3 3705 1
0 19 1654 558
70 51 0 569
49 17 3584 618
51 -9 0 1
50 128 0 457
13 30 3885 1
5 68 3121 1
23 -81 13952 1
110 120 5305 1083
-260 258 9294 1666
-43 32 6436 1211
48 -154 9746 1
72 -25 5659 1
19 156 16584 1
-41 -101 2154 863
103 62 2781 563
184 93 5727 1
-22 54 9395 1
-134 73 14545 1264
-49 165 3345 935
-15 38 0 1
-95 -201 5081 28
37 -66 0 1
-64 53 5355 182
24 36 2549 1
78 -210 1677 1466
8 225 5523 1073
207 -2 4872 1
97 11 8603 1
138 -31 3156 1334
58 106 6842 1184
-52 123 8394 18
-54 104 3121 447
-13 -167 9245 422
-119 -55 4634 886
48 -52 15558 1
50 -123 416 44
18 51 0 2149
51 177 9341 1003
53 149 16189 1
70 -154 14251 1364
-140 -86 9335 514
13 18 6517 1
11 -47 3477 1
35 -89 14974 1581
52 0 0 577
152 157 0 2506
-53 34 5517 1
39 -22 10496 1
1 155 16938 1
36 28 900 1
-19 -31 8911 1319
39 -132 6996 1
36 -36 4327 18
0 11 9585 477
-22 -17 149 1
172 75 1341 356
93 46 2292 1696
-81 -7 10696 1
0 -164 0 1
16 284 7033 1
53 -81 11285 893
-29 -180 11713 1
53 14 4381 268
18 295 0 560
-163 27 0 173
154 -101 21 1
25 203 5179 720
-155 -2 9181 398
22 -87 3958 1
73 194 12905 372
-36 99 0 1
-20 -74 8709 1
-18 -36 1527 848
57 -43 6309 1042
127 -221 9774 1
49 30 2021 1
91 -54 5535 1
25 111 0 1010
11 -35 0 369
-145 -71 2278 1043
-55 -247 7453 647
194 38 9308 1
-183 99 8835 1164
37 -62 10823 1
43 94 11993 241
14 26 5459 1
146 -133 4460 1
-38 250 4740 1412
-125 -7 4483 230
-93 113 722 1
94 -40 3324 1
-112 107 6373 1
9 113 6371 1
258 287 9924 1
-172 10 7264 93
-66 51 6833 1118
-75 -54 1772 1
135 37 1431 1
141 -75 11529 1
-28 27 20612 1
103 -138 3145 1344
-18 -74 0 1
40 -51 5640 1191
-125 17 11666 1
-116 137 0 613
-96 -33 9591 1
-153 -18 382 1
-14 -138 8893 1
-148 -44 8498 1
19 -136 8685 1
31 -76 17 1
-172 84 0 1
-79 -104 0 1
-40 -150 2146 145
92 127 1885 1
-87 0 1764 1
-2 315 16232 1987
19 -124 202 1
-68 -131 12410 1
169 154 3186 505
7 89 6970 1
168 -115 5539 285
14 58 0 1
-212 31 1583 1
11 -9 0 1
137 122 16517 495
-31 -161 4975 1
225 51 3913 1333
-25 -166 0 772
-57 -46 0 1
44 -5 9762 787
-93 -55 0 1
-129 -60 12900 1
24 -1 17142 153
-122 -83 7145 415
-202 -10 0 1435
-28 -57 9076 95
-100 13 2694 1962
-48 -13 6846 659
25 37 0 1
-116 108 7281 1010
-238 -43 12790 2166
-36 -137 10729 1526
-46 -38 2291 1263
-81 7 5053 1
-100 -162 7218 1
132 106 7971 50
18 25 8966 261
-43 34 0 1140
0 82 7812 724
139 50 6551 636
65 27 3914 1
88 -23 0 1
-125 -14 5603 1
-61 18 10058 1
82 -74 9291 1
0 65 10706 826
-23 74 6379 453
180 194 6098 1
193 19 0 1
215 161 11653 1083
-77 256 11259 1
-83 47 5602 1503
27 180 8163 1
-61 123 1228 1
-20 2 12347 842
-14 59 0 1
36 123 0 236
4 -143 4487 1
86 -99 2661 1000
153 26 1878 1990
-63 166 0 1
-26 41 9303 1664
34 -9 9920 1
-143 -39 6879 1
-2 -45 0 1595
-217 28 7623 1699
84 128 7661 1
69 -117 9608 1
-112 6 7311 1
-1 -14 5597 971
-123 28 11495 449
-136 -42 2882 433
13 -92 0 1
-125 163 1316 1348
-94 -2 0 386
169 171 0 1
78 -40 0 1
-66 -17 1104 1
125 -59 0 475
88 88 1730 292
-23 -47 835 1
-65 -58 13807 1
-43 -69 4378 1661
236 -4 2774 655
45 38 3038 1
-117 -188 11285 456
45 -11 8144 1
142 42 8753 1349
-50 75 8444 384
-182 36 0 1
34 50 2453 120
-163 157 3160 1063
0 95 7084 1
-18 -115 2969 803
158 -24 11580 126
163 -79 7797 1
-126 50 6864 150
-103 -57 5211 784
15 18 0 448
-5 -77 1007 1220
0 -46 12595 1
107 -94 6379 668
19 -173 4474 1139
-43 -51 7349 110
2 55 0 1
29 179 11294 74
-70 80 7746 1
21 -89 3425 1405
-134 70 6082 1
41 30 2361 1
49 -136 7448 1
182 93 1993 1
39 20 3342 418
45 49 1082 1
-35 -130 3862 1
6 52 11380 1
-89 29 0 1
-122 8 8484 200
89 -112 1953 953
44 -116 1801 905
-79 -149 97 510
16 -137 11451 1
43 29 0 1
-216 -177 3759 1
34 -166 195 688
-188 -44 2682 80
-60 -44 0 1
-48 38 10759 2378
-10 127 8787 539
-41 98 457 158
75 143 5984 1
272 -130 1320 1
44 -56 3258 1
46 15 6607 99
162 108 9883 825
94 33 4946 1
124 -27 10602 1
15 35 30 229
-210 55 7292 1
121 -9 569 1810
87 -21 2389 1538
-175 21 5647 615
36 -27 3866 1
-29 38 1320 1
-8 54 4887 1
-112 98 1362 1
54 -43 14288 180
-63 3 0 1
-83 43 6660 1360
-225 41 4462 1
95 206 0 1
30 -72 0 1
122 186 10866 806
-74 -143 5123 1
-32 -47 0 1
-37 -113 113 2694
107 3 1882 2107
24 55 3695 1
121 87 10161 1190
65 -48 0 1
-5 -47 1141 1
119 -102 10412 1
-83 100 6779 1
-82 56 4376 588
40 -59 6098 895
-97 -88 0 784
-112 -128 2541 1
-63 58 6434 1503
-212 40 1305 1
-10 91 13194 197
67 109 1907 1
-273 -4 0 1
-158 44 3315 1
226 -59 0 1554
-102 2 10400 1
-289 -100 5214 328
132 57 3610 1
86 -99 3593 1
69 72 3388 663
-30 297 915 2633
-210 -77 1669 860
-31 66 6238 49
-57 171 0 1024
-34 2 0 1
-36 62 14627 858
0 -193 1079 1
141 -199 14468 28
187 0 9786 1
116 55 9343 1138
-38 -4 4241 1
-131 -46 5997 551
60 -188 5004 495
-140 -181 2673 975
-37 98 0 17
98 126 8715 167
69 163 0 262
31 -73 12545 1
-89 -144 4773 1
44 70 4894 1
59 -105 5634 1
-186 -1 11850 1
86 -11 3331 556
-38 120 7205 1
27 -72 7708 1
190 -67 13273 1
7 94 1783 1
-100 169 6469 1
108 33 3252 788
85 -98 4447 1
121 -42 5745 390
169 -3 4553 1
-49 44 9130 1
29 -2 10134 815
139 -156 14738 1
100 -47 1391 1
-122 68 0 128
-180 -92 0 1295
50 -93 5254 1671
39 33 3646 347
47 115 8622 1
41 203 2758 1
195 22 3760 1
-2 13 0 922
93 3 9332 623
-150 -127 2081 522
-11 49 4039 1361
-134 14 4919 1
-157 -83 0 160
-12 80 0 1558
-75 58 15231 138
92 22 0 821
5 69 10333 271
25 172 964 1
-59 -15 5210 1
-21 -77 2555 1
-84 84 11062 2029
72 167 0 1
-85 -157 15363 1
-122 -181 14602 96
0 -51 3189 578
71 -75 1460 1
5 -175 5508 777
32 95 8188 1
-63 -43 3002 1
17 90 8866 1
-64 -114 1017 669
96 -67 8964 1
93 -283 0 436
46 -61 2953 1
125 69 5362 1504
59 -33 3985 454
-62 135 5084 541
4 124 0 193
54 31 6387 1
-80 75 2561 1
-68 49 0 1
-62 -17 3496 671
77 -157 5309 1
49 -39 1457 1
127 50 8073 1
-56 -118 7490 12
-116 -115 6637 1
84 72 6897 799
-64 -72 2493 1
-55 -136 7275 1404
20 20 4780 441
-29 54 9216 1
-198 -57 10803 189
6 -142 8023 1
-15 14 4982 442
113 46 11047 1
144 -24 0 66
-19 99 2921 211
44 -164 1801 1
14 -200 0 1239
-13 117 312 1990
-22 40 6640 1853
127 -13 475 1
191 -70 6952 1
93 -65 826 1
176 -225 6579 1
-19 -70 8560 1
-89 30 0 1010
134 -18 4668 1411
44 -103 3113 1
-48 127 7748 1
-169 65 558 1976
-46 -120 0 588
51 85 0 1
-133 30 6666 1
-9 245 1154 1
177 -36 10879 364
59 117 8647 641
-104 -14 9280 1287
70 -3 3368 618
13 147 0 2676
84 21 0 499
146 115 2081 1
50 -51 12705 1
-4 -40 4595 254
50 2 4337 752
-37 -28 7610 1
93 -73 9750 1
-70 -95 2907 404
202 78 0 594
65 -8 10760 1121
41 -90 5498 182
28 9 5250 1
63 0 0 833
63 -69 10794 30
-72 42 9022 502
95 -237 5235 206
-86 -118 7934 1
164 -19 10673 1
58 -79 6439 91
44 13 0 1390
98 -72 0 124
2 -108 0 1182
-65 68 5653 1
-215 -6 6657 1
168 -28 7972 584
1 68 1257 319
-76 61 8631 464
-3 -37 12046 1378
-71 -232 4638 1
-6 -72 10231 1
100 -75 18017 1
107 279 5973 68
-130 -94 3426 835
-157 -1 11210 1
-145 73 17004 1
25 230 6832 1217
-22 -112 5200 376
20 20 3481 1
59 -52 9800 1
52 86 3547 1372
30 -108 7816 1
74 38 9409 2444
93 -124 12514 1130
188 -54 0 1
-89 -166 11637 1
-52 -37 7078 1
-247 -17 4067 682
100 -43 10012 521
173 -68 0 1523
180 50 6516 148
66 31 7326 1
56 35 2042 1
143 82 3845 1
-119 -112 0 670
170 -13 0 2318
-48 -57 1803 3032
82 61 10635 1
-49 -120 14226 1
77 -1 3982 1
-206 -170 4283 1
26 10 6042 1
-117 21 0 114
19 -21 3878 155
83 59 5761 1
-159 -116 3358 535
-126 -120 0 684
70 93 0 1
6 178 8309 563
22 -184 6144 1
198 -35 0 984
-24 32 882 780
175 184 4969 747
-35 -47 11138 1
-59 3 8992 1
110 -9 1557 1
-71 -50 7265 1
16 -45 2275 4
28 -21 1717 771
-200 -108 277 1
-18 -58 4930 893
65 12 7776 1
169 90 6724 441
212 -76 10715 2360
-12 2 7351 1
10 157 1315 651
-40 75 10496 710
96 95 4310 598
-179 -117 2206 1
-97 -12 4347 1
63 99 0 1
25 15 9229 1
133 16 4065 401
-31 -103 2548 1
5 45 2690 1
-110 -122 10965 438
8 -51 3591 1
28 -58 8942 1864
5 -44 15999 1637
-44 -53 10326 576
-155 -80 5680 36
13 -13 932 414
-111 56 0 1
109 -5 3962 43
-137 -129 3071 1
-32 32 5553 1
-9 234 7151 1
-41 -101 380 1
-50 49 7434 1
33 -51 3889 1
59 -140 2212 128
-82 27 4105 1
36 -74 10137 1
-26 71 5754 1062
38 -66 9243 1
84 -217 1768 1
-38 56 5188 77
-134 -141 0 1652
72 28 0 1
-5 82 4211 98
7 -58 5964 1
-218 -25 0 720
33 107 6399 1
-125 -25 9282 1
130 17 4483 666
149 -35 13915 900
-172 -53 3832 1
-71 -166 10293 596
21 100 8025 127
14 190 925 415
-15 10 8068 1
90 -146 0 1635
97 -93 0 1
216 359 0 1
-29 215 3346 2232
-9 207 8940 1
58 -25 1801 64
79 69 14632 1
72 37 17013 1
-184 -194 2831 1
64 -47 13898 1
75 142 1442 2352
0 111 9727 1
242 -88 2678 584
46 80 9591 1575
125 -62 8674 1158
-50 48 10003 1
-75 171 12041 1404
4 -96 2568 1
59 -52 0 1
-62 132 4326 1
51 -244 4010 1
-128 36 9476 1
-28 34 17980 3911
18 28 7381 1277
88 38 8998 1
12 28 5223 559
42 -364 0 92
-31 117 0 1
43 124 5770 718
142 -46 0 1
38 33 5890 1
-82 59 9943 1
-111 -51 7018 879
-158 -147 13418 1
100 162 10404 1
-109 52 5555 587
-128 -10 6162 24
48 103 2859 1001
11 17 0 785
20 -71 12535 1
-181 -74 5352 808
-64 -16 1667 341
-30 -178 7246 449
45 -181 0 850
-73 -61 0 1109
-229 -60 5668 957
11 -53 4147 873
152 -27 1109 1
-125 159 322 1
-53 25 0 1107
-80 -55 6098 1
165 -111 2767 1
27 261 9596 1
-61 -14 2784 1
-108 -122 13467 1
-154 177 0 1
-97 -4 0 1
51 16 13418 245
98 -158 1649 1015
-111 28 5900 820
-15 -69 4009 311
-30 -45 8994 1
-4 66 8336 1
-129 90 1576 1
-55 47 3458 1951
-112 75 10865 1254
-62 -30 7230 582
-193 75 18249 67
-38 15 8063 880
99 -10 3160 813
-5 -97 4412 1
-93 135 7416 1
-107 -211 8855 317
207 96 2595 1
-31 67 0 196
33 -15 15044 2764
-56 82 578 1
153 -17 0 1
88 -150 10102 877
58 230 2724 1
-55 -381 4095 1040
-25 114 3637 513
-78 -194 13063 149
41 -33 12285 1945
-101 -57 6304 1
13 14 8030 1
59 18 8883 1
186 -113 900 539
-108 -129 2470 1148
190 160 3397 1
94 76 9539 626
-76 -44 6229 378
55 50 9028 1035
21 -40 4266 390
-11 101 4946 364
0 -23 4982 314
-123 42 1702 1
-154 -128 3355 88
-155 75 0 1
94 -19 0 673
-90 98 0 227
-32 169 6500 1
-50 -196 5061 699
-142 -39 2384 313
104 20 7471 1
86 -57 9732 1
90 13 4215 1006
-94 -65 5821 756
15 -11 7317 1
57 -104 11217 1313
-50 -222 9706 1126
-61 95 3379 1594
-86 -39 8271 575
-81 7 5896 1
-40 326 9840 1
258 -145 9628 72
43 131 4134 1230
47 52 5732 1317
-113 -60 11611 1090
4 -30 0 1
-80 -188 4793 591
-11 73 3896 2177
86 14 0 783
34 83 1487 623
-246 101 8350 1418
100 -72 10471 69
-96 -149 0 903
-69 -7 9539 1
43 -114 0 515
-173 73 7534 1
127 143 10416 889
47 12 0 1
106 57 9751 192
41 43 11541 784
7 -70 5548 1
-154 188 8077 227
64 25 7847 1
158 -30 10834 1
127 224 7833 1
-104 -30 1664 1034
-98 -46 7690 55
-118 121 13311 1
23 -57 6026 355
-144 66 1386 478
-22 16 8684 1
12 -85 980 1672
47 -156 15781 789
76 59 7849 1
-13 -123 2919 1
45 -11 5888 1448
46 -40 7603 1
70 156 0 465
149 -150 1826 1599
127 -157 6699 932
249 -6 5512 1
-26 30 0 1
-124 26 11448 1
-35 -47 9388 596
-13 -152 2158 2880
-217 -31 0 426
-110 -58 0 1
-106 -19 1589 236
-161 24 11262 215
33 -30 0 768
-26 -204 5137 617
-30 51 1916 1
-35 8 7469 1
-104 64 6954 107
159 53 3152 1843
-110 111 0 2280
46 -123 13447 1
179 41 11547 1943
269 132 10143 1167
-13 -198 7231 1073
-89 152 8842 1
-110 134 0 1
113 -181 4303 1
-90 -109 0 1010
-53 7 5074 1
-4 38 1508 904
140 -39 4680 1
14 345 5770 1604
6 -80 10212 694
29 -92 1100 1011
-152 -365 5587 1
-77 -155 7930 1
-30 -70 694 824
94 -63 4542 1059
-132 -86 1885 758
-39 13 6605 112
-144 -2 3148 1164
-116 42 2829 1
-1 121 7234 1
-13 116 15317 475
13 19 6061 501
-46 -30 4264 1219
-15 95 1224 479
-19 -37 0 1
-239 -150 9107 818
-116 2 1574 233
-60 30 6580 1
-91 15 2175 1733
-206 27 10828 2438
-82 -264 1070 1
-104 -6 0 1598
96 146 7638 1
-54 -108 4012 354
-54 -10 3102 1036
16 -65 7003 1
-50 -54 0 313
-35 326 1639 1
2 49 3976 1
136 69 9694 1
-34 0 4626 1
0 -21 7309 1
-154 4 0 1124
86 -87 2329 1
-71 -32 6677 1
135 -70 6981 1292
92 -54 11639 1
70 91 3681 1493
-87 -70 1306 1
-156 -6 13451 822
-204 -19 5549 1
27 -111 3490 717
55 -67 1931 40
-39 -168 5940 1
-76 7 0 553
55 -14 5372 1
-83 16 5396 1412
-49 -7 12111 878
150 117 642 1
1 -29 0 1070
-325 85 9283 942
30 18 8535 338
40 126 1239 36
50 189 16368 461
-79 -27 1447 853
-48 -53 14666 884
153 46 0 1
-83 -73 0 1
-137 102 4811 905
-7 -193 12645 738
-96 -92 5831 1
128 89 5679 919
-112 -56 12053 1019
65 -35 14094 188
-41 43 2112 1031
116 153 7062 1060
-120 10 0 1
-69 148 3363 1
-113 79 9242 1
-210 70 0 1
-27 -1 6925 1
-139 137 2107 79
79 -7 1385 314
-43 -63 8872 1858
-30 2 1248 142
75 -39 8986 1
26 73 2584 1
-81 1 6868 1
158 158 3674 90
32 -89 0 1
7 -66 3065 613
199 -40 9286 425
-108 -210 50 2278
2 230 7873 866
-32 55 4203 406
-100 -119 2141 271
-241 22 8929 1
-115 -6 8414 182
-91 249 11854 1
3 -83 18151 1
40 138 1215 1
-76 65 7391 1
-106 160 7629 525
98 231 7073 1
40 -74 203 1224
59 -113 2093 1
191 141 2138 2184
91 -82 0 875
8 75 14242 1
26 84 2015 837
-71 -122 5363 805
-41 100 0 1
15 72 5469 1
112 154 3517 1
-110 85 0 95
-186 62 1895 1385
117 6 0 1
45 -137 11234 1301
-31 275 4280 800
129 -65 1412 1
19 108 4097 1
206 -27 0 1
-72 0 5887 1065
-2 32 1708 1050
-37 101 6226 1
-79 -39 7494 941
57 24 2502 147
32 179 6413 1
-24 129 0 1595
-31 -6 7773 1037
139 -160 554 1
144 -5 2954 1716
-257 158 11979 1
180 -55 8257 1
-65 85 11307 564
-88 53 8337 1
-34 -42 12661 290
-124 105 5438 1088
-85 -82 5047 1
82 -107 0 1
-91 -37 3503 1
169 105 363 1
-67 72 5224 278
5 60 9062 1509
-207 -31 6318 556
82 165 4060 668
-83 81 5486 865
-19 5 0 1396
-181 136 0 1
-174 -195 4377 459
50 -32 7814 1427
95 -99 1274 1
167 -56 1954 1
68 -192 0 1
10 -32 0 714
-106 121 4929 1
-132 103 452 222
32 158 12622 368
-166 -43 786 1
-109 -2 15604 1
93 85 11178 1
-216 -134 9177 957
-74 -57 6290 274
-35 -6 0 1
-79 -20 9667 800
-56 -23 7255 1
-84 140 11328 1
207 -16 3435 947
-54 -199 4861 1698
-72 -39 3819 537
128 -59 290 909
43 169 1714 1861
12 -17 713 1539
89 37 3102 100
-25 -196 4253 1
-162 144 231 1
-70 -12 0 105
-186 94 5649 104
-76 -60 4627 831
14 -30 685 650
-53 194 1842 1
-89 -217 2572 309
-44 -175 8271 1
-10 -19 11452 1
-81 130 4357 1
158 -7 3018 31
-8 -60 7062 1
4 -100 8810 507
60 -59 15680 1580
71 31 3425 1
-83 -23 3836 943
-130 -18 0 1
58 -24 6964 1
-125 -6 1292 1
-72 -82 2455 905
29 -190 0 1
-18 -108 5537 1
123 -46 5074 1
14 46 13937 1
-84 -89 0 1
41 85 6673 1837
-158 -108 8768 1
-26 178 9170 1505
194 10 12048 1786
-83 -38 0 482
-154 91 6857 1
-3 198 14961 786
70 188 0 1
195 51 0 1
-106 37 11375 404
24 -50 13112 1529
-73 -63 6657 7
-158 -62 11072 1249
-26 117 4953 859
-84 -20 1817 2766
-68 -16 8249 147
44 24 0 1
87 183 6772 440
44 144 3402 1
-105 -45 68 1
9 -9 8908 1
-20 -103 2222 1
23 -15 10607 20
-73 105 3449 1447
52 66 4394 1
-37 -57 7529 1
-42 -126 3540 1
2 71 6826 862
-34 -53 0 1485
107 208 2494 2200
-140 -92 0 1
103 117 1865 1
-110 -88 5002 1104
-74 31 3750 938
-21 -66 12668 1
0 27 0 1
-23 22 4892 1098
-5 -70 9896 458
-148 -4 7984 285
264 -157 0 683
142 116 4030 1
3 -41 0 322
61 -23 9114 1176
-81 108 1189 1
61 -188 0 1693
37 -118 0 60
-63 -1 7927 81
26 -35 6993 1
-79 16 9359 1489
-282 123 4662 1
42 132 1229 1
50 118 7355 238
-95 98 7506 1
19 -43 4584 1
183 -172 5806 1651
-31 132 698 204
-128 -91 8568 1
63 12 1560 683
257 -91 6983 51
92 -40 20197 1675
-40 -26 5137 156
-38 -127 2935 388
62 -39 8408 1
-152 11 1530 1306
-130 -29 9039 418
-211 -71 11938 1
166 -174 6062 1
-28 73 4350 1
111 60 7285 1
-7 15 6403 1379
-101 -82 608 550
8 -7 0 491
230 56 4433 693
36 75 6843 1
-50 78 7505 1
-110 -180 5484 1553
72 55 0 1
-30 -64 2441 1
39 -49 11781 632
235 -7 9343 1
39 23 6833 318
69 -112 2955 1
56 -57 0 1
34 58 8643 1
28 109 7087 1
81 -186 4475 1783
23 13 14987 207
241 91 5908 482
-26 -4 2962 310
31 77 980 1
-216 97 0 1
29 -81 0 248
0 -61 18370 1444
63 15 4780 1
61 -100 466 1
-39 -174 5426 1
-109 -217 8697 1111
-84 -8 409 603
52 53 4913 1
32 -34 2715 759
115 30 2108 1143
-198 -118 0 1152
-149 99 3357 1
-92 -26 7378 1
91 13 12121 1
-68 -92 156 1
1 -186 7987 552
80 112 12940 1
-4 96 746 1
-131 34 6821 1211
9 75 7543 1
-194 -52 7575 611
-33 50 860 1
91 -272 0 939
88 9 4105 1
-124 6 4810 1
-128 97 7607 1
-98 82 6856 363
83 -100 5029 705
-256 -116 2303 1
-20 -85 7057 1
110 -168 7941 1
-324 56 6240 751
-123 -120 7141 1010
10 133 7120 208
-67 -181 0 1
-257 -21 9785 437
-246 -9 978 1
41 -17 314 1
-43 80 4952 1
76 145 4305 1
-35 -60 0 1
35 -163 9815 1
-86 40 8823 1077
-110 -50 5316 86
157 100 1470 1
98 30 1745 183
33 -63 9606 1007
-107 -8 207 1032
20 163 2261 384
72 16 5790 1
29 61 689 182
-32 13 3743 1
-76 -55 1391 197
98 -8 10410 718
-100 102 6011 1
-235 4 4881 211
-24 5 9098 2174
-26 -207 9081 1
236 82 13529 341
-16 -44 15325 1
-7 -70 13051 1923
-123 -68 889 1
64 106 0 1
132 -93 16634 2368
-47 -13 11802 2989
-134 -33 6764 649
100 -52 0 306
-86 -5 4979 1074
12 -7 1622 456
-161 28 2594 1428
-34 -77 0 1
41 -68 1712 1103
-59 106 10920 1
-197 -107 3590 2155
325 -41 11874 1
156 15 13021 1
125 66 8270 956
80 76 2377 1965
92 80 3785 1
27 -73 6220 1
132 66 4262 1
3 18 482 1
5 62 623 811
43 120 2006 1
177 197 0 1
124 -7 9039 1490
210 -159 7394 1
202 -10 4345 1153
-11 150 4084 1
50 -65 0 1
157 -39 2296 1
8 -269 198 1130
64 -74 2474 789
-195 -127 15048 342
99 19 6870 1
28 269 2721 1278
128 -105 5281 1916
183 22 8329 1
-65 162 7370 1
153 -28 0 7
-189 -99 3056 1
79 175 983 246
-123 42 8870 1
-68 -39 11215 772
-84 4 0 1
-214 -49 4008 871
19 72 8121 928
-6 -45 0 1295
23 14 12836 1
220 55 12910 1520
59 45 0 667
131 -143 6119 1506
-169 8 7320 1
110 -3 9352 613
39 43 0 260
-23 -160 1074 426
126 9 0 614
-5 -4 657 92
59 -126 3385 381
14 25 0 1
-14 13 7363 926
-133 35 14482 42
-121 -100 2558 1
-167 -60 8970 520
-91 85 3983 133
116 133 4878 579
-146 129 3700 1
-189 116 7399 1
0 56 0 1105
155 -35 15514 1
-84 108 17299 1
131 18 2016 1
-74 -145 1739 1479
25 94 0 370
-14 88 8139 1
-117 -38 10757 1006
-72 45 0 1
19 24 0 1
-173 -64 5110 1
-15 37 9819 440
86 -162 5768 1
106 58 2085 429
-6 91 5605 1
-103 100 7183 915
-250 220 10393 128
5 -108 0 1112
79 -238 2714 221
62 -38 0 1
-21 -86 10345 2113
0 20 9831 393
-36 83 4652 1
-45 -93 9328 1
108 82 6185 1464
-72 -246 2903 1
-35 223 13080 1094
-56 -199 2941 256
30 144 995 1
134 180 3599 1134
0 -36 4430 1
187 80 13070 119
-48 -14 6108 100
41 -69 6533 1379
-214 89 1980 1287
7 -35 14467 1
41 -84 74 1
162 -160 9882 463
141 35 6064 2117
-9 -28 9727 779
-196 -94 8372 1
-207 161 0 917
-63 -29 6282 558
-47 -152 12675 31
73 -158 5953 1
24 -37 4328 1164
124 -33 0 1
40 -35 10137 1
-16 -130 7765 1
-8 221 10114 1
-13 45 8419 1081
25 -9 9214 357
92 -23 1996 1402
55 -23 898 789
113 11 10492 1
50 -249 2744 1452
156 105 9716 1
108 232 4839 1
75 14 6114 1367
-161 236 7562 514
-93 -48 5518 1
-33 116 0 1
-49 140 1406 1
79 -117 6626 185
4 38 6772 1
-25 248 808 1
25 160 9052 1
55 -40 8640 1
234 150 9245 1
-61 59 0 954
-52 -318 0 1178
-90 -24 423 1
58 -27 2052 612
-132 145 8513 1353
8 60 9129 1
0 -4 5718 1
-17 43 9021 1
-37 -13 8075 1
166 -14 0 1
47 154 3946 1
-22 -27 13330 1
42 38 2822 4068
228 143 0 793
42 -67 0 372
54 -88 509 1
-50 -230 0 1
-50 -37 387 1
71 52 5061 1
112 -77 4974 764
129 -111 837 1
-39 72 0 1
-20 -34 0 89
-120 135 0 1120
-77 119 4923 1026
61 175 5648 1
-121 91 6515 1
119 116 6945 288
33 -167 1750 1276
209 -17 12800 379
-81 -157 5974 1
197 -91 5297 157
229 80 6696 498
101 47 5259 574
77 -53 0 1
-76 105 6580 1418
32 -14 49 1
-61 27 5273 1
-94 -111 1007 514
-2 87 3209 839
118 -50 3888 476
29 -6 5139 1
-208 81 8809 1616
-208 15 4397 1
-12 196 730 1
16 -88 4710 815
43 58 11257 1
13 20 3628 109
79 -61 0 1
-35 3 17400 656
-97 -14 12214 459
13 -37 9337 1
-175 170 4969 1
184 67 103 1
-47 -130 0 1
-21 -104 12024 1582
19 56 1697 540
-26 115 4253 1
50 -81 0 153
0 1 7245 1
-5 9 11460 253
-2 58 0 1
144 149 1100 1356
-4 21 0 176
-151 183 0 1
-69 178 0 1
56 137 11539 2756
168 82 0 647
53 39 15780 1
-3 -105 3737 824
14 203 3297 38
156 42 2645 1776
75 61 12224 1
-116 83 17223 214
118 68 0 1289
-8 -4 0 878
44 97 2919 1825
58 -51 3334 982
130 -73 9028 714
16 -97 5035 108
45 67 6750 421
-188 50 15976 936
-4 14 0 963
-60 114 0 5
-58 -24 3668 1
13 -94 9178 514
78 248 8385 116
